Wypisanie po algorytmie: 
Sciezka: 
1366, 1326, 1286, 1246, 1206, 1166, 1126, 1086, 1085, 1084, 1083, 
Najkrotsza droga z 0 do kolejnych wierzcholkow: 
dist 1000000 , prev  1000000 ,  node 148 ,  148
dist 1000000 , prev  1000000 ,  node 149 ,  149
dist 1000000 , prev  1000000 ,  node 150 ,  150
dist 1000000 , prev  1000000 ,  node 151 ,  151
dist 1000000 , prev  1000000 ,  node 152 ,  152
dist 1000000 , prev  1000000 ,  node 153 ,  153
dist 1000000 , prev  1000000 ,  node 154 ,  154
dist 1000000 , prev  1000000 ,  node 155 ,  155
dist 1000000 , prev  1000000 ,  node 156 ,  156
dist 1000000 , prev  1000000 ,  node 157 ,  157
dist 1000000 , prev  1000000 ,  node 158 ,  158
dist 1000000 , prev  1000000 ,  node 159 ,  159
dist 1000000 , prev  1000000 ,  node 160 ,  160
dist 1000000 , prev  1000000 ,  node 161 ,  161
dist 1000000 , prev  1000000 ,  node 162 ,  162
dist 1000000 , prev  1000000 ,  node 163 ,  163
dist 1000000 , prev  1000000 ,  node 164 ,  164
dist 1000000 , prev  1000000 ,  node 165 ,  165
dist 1000000 , prev  1000000 ,  node 166 ,  166
dist 1000000 , prev  1000000 ,  node 167 ,  167
dist 1000000 , prev  1000000 ,  node 168 ,  168
dist 1000000 , prev  1000000 ,  node 169 ,  169
dist 1000000 , prev  1000000 ,  node 170 ,  170
dist 1000000 , prev  1000000 ,  node 171 ,  171
dist 1000000 , prev  1000000 ,  node 172 ,  172
dist 1000000 , prev  1000000 ,  node 173 ,  173
dist 1000000 , prev  1000000 ,  node 174 ,  174
dist 1000000 , prev  1000000 ,  node 175 ,  175
dist 1000000 , prev  1000000 ,  node 176 ,  176
dist 1000000 , prev  1000000 ,  node 177 ,  177
dist 1000000 , prev  1000000 ,  node 178 ,  178
dist 1000000 , prev  1000000 ,  node 179 ,  179
dist 1000000 , prev  1000000 ,  node 180 ,  180
dist 1000000 , prev  1000000 ,  node 181 ,  181
dist 1000000 , prev  1000000 ,  node 182 ,  182
dist 1000000 , prev  1000000 ,  node 183 ,  183
dist 1000000 , prev  1000000 ,  node 184 ,  184
dist 1000000 , prev  1000000 ,  node 185 ,  185
dist 1000000 , prev  1000000 ,  node 186 ,  186
dist 1000000 , prev  1000000 ,  node 187 ,  187
dist 1000000 , prev  1000000 ,  node 188 ,  188
dist 1000000 , prev  1000000 ,  node 189 ,  189
dist 1000000 , prev  1000000 ,  node 190 ,  190
dist 1000000 , prev  1000000 ,  node 191 ,  191
dist 1000000 , prev  1000000 ,  node 192 ,  192
dist 1000000 , prev  1000000 ,  node 193 ,  193
dist 1000000 , prev  1000000 ,  node 194 ,  194
dist 1000000 , prev  1000000 ,  node 195 ,  195
dist 1000000 , prev  1000000 ,  node 196 ,  196
dist 1000000 , prev  1000000 ,  node 197 ,  197
dist 1000000 , prev  1000000 ,  node 198 ,  198
dist 1000000 , prev  1000000 ,  node 199 ,  199
dist 1000000 , prev  1000000 ,  node 200 ,  200
dist 1000000 , prev  1000000 ,  node 201 ,  201
dist 1000000 , prev  1000000 ,  node 202 ,  202
dist 1000000 , prev  1000000 ,  node 203 ,  203
dist 1000000 , prev  1000000 ,  node 204 ,  204
dist 1000000 , prev  1000000 ,  node 205 ,  205
dist 1000000 , prev  1000000 ,  node 206 ,  206
dist 1000000 , prev  1000000 ,  node 207 ,  207
dist 1000000 , prev  1000000 ,  node 208 ,  208
dist 1000000 , prev  1000000 ,  node 209 ,  209
dist 1000000 , prev  1000000 ,  node 210 ,  210
dist 1000000 , prev  1000000 ,  node 211 ,  211
dist 1000000 , prev  1000000 ,  node 212 ,  212
dist 1000000 , prev  1000000 ,  node 213 ,  213
dist 1000000 , prev  1000000 ,  node 214 ,  214
dist 1000000 , prev  1000000 ,  node 215 ,  215
dist 1000000 , prev  1000000 ,  node 216 ,  216
dist 1000000 , prev  1000000 ,  node 217 ,  217
dist 1000000 , prev  1000000 ,  node 218 ,  218
dist 1000000 , prev  1000000 ,  node 219 ,  219
dist 1000000 , prev  1000000 ,  node 220 ,  220
dist 1000000 , prev  1000000 ,  node 221 ,  221
dist 1000000 , prev  1000000 ,  node 222 ,  222
dist 1000000 , prev  1000000 ,  node 223 ,  223
dist 1000000 , prev  1000000 ,  node 224 ,  224
dist 1000000 , prev  1000000 ,  node 225 ,  225
dist 1000000 , prev  1000000 ,  node 226 ,  226
dist 1000000 , prev  1000000 ,  node 227 ,  227
dist 1000000 , prev  1000000 ,  node 228 ,  228
dist 1000000 , prev  1000000 ,  node 229 ,  229
dist 1000000 , prev  1000000 ,  node 230 ,  230
dist 1000000 , prev  1000000 ,  node 231 ,  231
dist 1000000 , prev  1000000 ,  node 232 ,  232
dist 1000000 , prev  1000000 ,  node 233 ,  233
dist 1000000 , prev  1000000 ,  node 234 ,  234
dist 1000000 , prev  1000000 ,  node 235 ,  235
dist 1000000 , prev  1000000 ,  node 236 ,  236
dist 1000000 , prev  1000000 ,  node 237 ,  237
dist 1000000 , prev  1000000 ,  node 238 ,  238
dist 1000000 , prev  1000000 ,  node 239 ,  239
dist 1000000 , prev  1000000 ,  node 240 ,  240
dist 1000000 , prev  1000000 ,  node 241 ,  241
dist 1000000 , prev  1000000 ,  node 242 ,  242
dist 1000000 , prev  1000000 ,  node 243 ,  243
dist 1000000 , prev  1000000 ,  node 244 ,  244
dist 1000000 , prev  1000000 ,  node 245 ,  245
dist 1000000 , prev  1000000 ,  node 246 ,  246
dist 1000000 , prev  1000000 ,  node 247 ,  247
dist 1000000 , prev  1000000 ,  node 248 ,  248
dist 1000000 , prev  1000000 ,  node 249 ,  249
dist 1000000 , prev  1000000 ,  node 250 ,  250
dist 1000000 , prev  1000000 ,  node 251 ,  251
dist 1000000 , prev  1000000 ,  node 252 ,  252
dist 1000000 , prev  1000000 ,  node 253 ,  253
dist 1000000 , prev  1000000 ,  node 254 ,  254
dist 1000000 , prev  1000000 ,  node 255 ,  255
dist 1000000 , prev  1000000 ,  node 256 ,  256
dist 1000000 , prev  1000000 ,  node 257 ,  257
dist 1000000 , prev  1000000 ,  node 258 ,  258
dist 1000000 , prev  1000000 ,  node 259 ,  259
dist 1000000 , prev  1000000 ,  node 260 ,  260
dist 1000000 , prev  1000000 ,  node 261 ,  261
dist 1000000 , prev  1000000 ,  node 262 ,  262
dist 1000000 , prev  1000000 ,  node 263 ,  263
dist 1000000 , prev  1000000 ,  node 264 ,  264
dist 1000000 , prev  1000000 ,  node 265 ,  265
dist 1000000 , prev  1000000 ,  node 266 ,  266
dist 1000000 , prev  1000000 ,  node 267 ,  267
dist 1000000 , prev  1000000 ,  node 268 ,  268
dist 1000000 , prev  1000000 ,  node 269 ,  269
dist 1000000 , prev  1000000 ,  node 270 ,  270
dist 1000000 , prev  1000000 ,  node 271 ,  271
dist 1000000 , prev  1000000 ,  node 272 ,  272
dist 1000000 , prev  1000000 ,  node 273 ,  273
dist 1000000 , prev  1000000 ,  node 274 ,  274
dist 1000000 , prev  1000000 ,  node 275 ,  275
dist 1000000 , prev  1000000 ,  node 276 ,  276
dist 1000000 , prev  1000000 ,  node 277 ,  277
dist 1000000 , prev  1000000 ,  node 278 ,  278
dist 1000000 , prev  1000000 ,  node 279 ,  279
dist 1000000 , prev  1000000 ,  node 280 ,  280
dist 1000000 , prev  1000000 ,  node 281 ,  281
dist 1000000 , prev  1000000 ,  node 282 ,  282
dist 1000000 , prev  1000000 ,  node 283 ,  283
dist 1000000 , prev  1000000 ,  node 284 ,  284
dist 1000000 , prev  1000000 ,  node 285 ,  285
dist 1000000 , prev  1000000 ,  node 286 ,  286
dist 1000000 , prev  1000000 ,  node 287 ,  287
dist 1000000 , prev  1000000 ,  node 288 ,  288
dist 1000000 , prev  1000000 ,  node 289 ,  289
dist 1000000 , prev  1000000 ,  node 290 ,  290
dist 1000000 , prev  1000000 ,  node 291 ,  291
dist 1000000 , prev  1000000 ,  node 292 ,  292
dist 1000000 , prev  1000000 ,  node 293 ,  293
dist 1000000 , prev  1000000 ,  node 294 ,  294
dist 1000000 , prev  1000000 ,  node 295 ,  295
dist 1000000 , prev  1000000 ,  node 296 ,  296
dist 1000000 , prev  1000000 ,  node 297 ,  297
dist 1000000 , prev  1000000 ,  node 298 ,  298
dist 1000000 , prev  1000000 ,  node 299 ,  299
dist 1000000 , prev  1000000 ,  node 300 ,  300
dist 1000000 , prev  1000000 ,  node 301 ,  301
dist 1000000 , prev  1000000 ,  node 302 ,  302
dist 1000000 , prev  1000000 ,  node 303 ,  303
